# DPGA full geometry file (creation date: 2016-04-07 09:43:09.97714454 +0200 CEST)
# iChannelAbs240 X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4 X5 Y5 Z5 X6 Y6 Z6 X7 Y7 Z7
22 -135.86000146948842 59.79282984364102 -61.75 -135.86000146948842 59.79282984364102 -74.75 -130.88511684874223 71.80326376628776 -74.75 -130.88511684874223 71.80326376628776 -61.75 -149.71819445715772 65.53308132911737 -61.75 -149.71819445715772 65.53308132911737 -74.75 -144.74330983641153 77.5435152517641 -74.75 -144.74330983641153 77.5435152517641 -61.75
23 -135.86000146948842 59.79282984364102 -81.25 -135.86000146948842 59.79282984364102 -94.25 -130.88511684874223 71.80326376628776 -94.25 -130.88511684874223 71.80326376628776 -81.25 -149.71819445715772 65.53308132911737 -81.25 -149.71819445715772 65.53308132911737 -94.25 -144.74330983641153 77.5435152517641 -94.25 -144.74330983641153 77.5435152517641 -81.25
24 -143.3223284006077 41.777178959670934 -22.75 -143.3223284006077 41.777178959670934 -35.75 -138.3474437798615 53.78761288231766 -35.75 -138.3474437798615 53.78761288231766 -22.75 -157.180521388277 47.51743044514728 -22.75 -157.180521388277 47.51743044514728 -35.75 -152.2056367675308 59.52786436779401 -35.75 -152.2056367675308 59.52786436779401 -22.75
25 -143.3223284006077 41.777178959670934 -42.25 -143.3223284006077 41.777178959670934 -55.25 -138.3474437798615 53.78761288231766 -55.25 -138.3474437798615 53.78761288231766 -42.25 -157.180521388277 47.51743044514728 -42.25 -157.180521388277 47.51743044514728 -55.25 -152.2056367675308 59.52786436779401 -55.25 -152.2056367675308 59.52786436779401 -42.25
26 -135.86000146948842 59.79282984364102 -22.75 -135.86000146948842 59.79282984364102 -35.75 -130.88511684874223 71.80326376628776 -35.75 -130.88511684874223 71.80326376628776 -22.75 -149.71819445715772 65.53308132911737 -22.75 -149.71819445715772 65.53308132911737 -35.75 -144.74330983641153 77.5435152517641 -35.75 -144.74330983641153 77.5435152517641 -22.75
27 -135.86000146948842 59.79282984364102 -42.25 -135.86000146948842 59.79282984364102 -55.25 -130.88511684874223 71.80326376628776 -55.25 -130.88511684874223 71.80326376628776 -42.25 -149.71819445715772 65.53308132911737 -42.25 -149.71819445715772 65.53308132911737 -55.25 -144.74330983641153 77.5435152517641 -55.25 -144.74330983641153 77.5435152517641 -42.25
28 -143.3223284006077 41.777178959670934 16.25 -143.3223284006077 41.777178959670934 3.25 -138.3474437798615 53.78761288231766 3.25 -138.3474437798615 53.78761288231766 16.25 -157.180521388277 47.51743044514728 16.25 -157.180521388277 47.51743044514728 3.25 -152.2056367675308 59.52786436779401 3.25 -152.2056367675308 59.52786436779401 16.25
29 -143.3223284006077 41.777178959670934 -3.25 -143.3223284006077 41.777178959670934 -16.25 -138.3474437798615 53.78761288231766 -16.25 -138.3474437798615 53.78761288231766 -3.25 -157.180521388277 47.51743044514728 -3.25 -157.180521388277 47.51743044514728 -16.25 -152.2056367675308 59.52786436779401 -16.25 -152.2056367675308 59.52786436779401 -3.25
30 -135.86000146948842 59.79282984364102 16.25 -135.86000146948842 59.79282984364102 3.25 -130.88511684874223 71.80326376628776 3.25 -130.88511684874223 71.80326376628776 16.25 -149.71819445715772 65.53308132911737 16.25 -149.71819445715772 65.53308132911737 3.25 -144.74330983641153 77.5435152517641 3.25 -144.74330983641153 77.5435152517641 16.25
31 -135.86000146948842 59.79282984364102 -3.25 -135.86000146948842 59.79282984364102 -16.25 -130.88511684874223 71.80326376628776 -16.25 -130.88511684874223 71.80326376628776 -3.25 -149.71819445715772 65.53308132911737 -3.25 -149.71819445715772 65.53308132911737 -16.25 -144.74330983641153 77.5435152517641 -16.25 -144.74330983641153 77.5435152517641 -3.25
32 -143.3223284006077 41.777178959670934 55.25 -143.3223284006077 41.777178959670934 42.25 -138.3474437798615 53.78761288231766 42.25 -138.3474437798615 53.78761288231766 55.25 -157.180521388277 47.51743044514728 55.25 -157.180521388277 47.51743044514728 42.25 -152.2056367675308 59.52786436779401 42.25 -152.2056367675308 59.52786436779401 55.25
