# DPGA geometry file (creation date: 2016-04-07 13:26:12.061784562 +0200 CEST)
# iChannelAbs240 X Y Z
58 -148.40304780201896 9.703499527060996 61.75
59 -148.40304780201896 9.703499527060996 81.25
60 -148.403047802019 -9.703499527060965 -81.25
61 -148.403047802019 -9.703499527060965 -61.75
62 -145.85778705372798 -29.03667432385027 -81.25
63 -145.85778705372798 -29.03667432385027 -61.75
64 -148.403047802019 -9.703499527060965 -42.25
65 -148.403047802019 -9.703499527060965 -22.75
66 -145.85778705372798 -29.03667432385027 -42.25
67 -145.85778705372798 -29.03667432385027 -22.75
68 -148.403047802019 -9.703499527060965 -3.25
69 -148.403047802019 -9.703499527060965 16.25
70 -145.85778705372798 -29.03667432385027 -3.25
71 -145.85778705372798 -29.03667432385027 16.25
72 -148.403047802019 -9.703499527060965 35.75
73 -148.403047802019 -9.703499527060965 55.25
74 -145.85778705372798 -29.03667432385027 35.75
75 -145.85778705372798 -29.03667432385027 55.25
76 -148.403047802019 -9.703499527060965 74.75
77 -148.403047802019 -9.703499527060965 94.25
78 -145.85778705372798 -29.03667432385027 74.75
79 -145.85778705372798 -29.03667432385027 94.25
80 -140.83488609023462 -47.7823959209942 -87.75
81 -140.83488609023462 -47.7823959209942 -68.25
82 -133.37255915911535 -65.79804680496429 -87.75
83 -133.37255915911535 -65.79804680496429 -68.25
84 -140.83488609023462 -47.7823959209942 -48.75
85 -140.83488609023462 -47.7823959209942 -29.25
86 -133.37255915911535 -65.79804680496429 -48.75
87 -133.37255915911535 -65.79804680496429 -29.25
88 -140.83488609023462 -47.7823959209942 -9.75
89 -140.83488609023462 -47.7823959209942 9.75
90 -133.37255915911535 -65.79804680496429 -9.75
91 -133.37255915911535 -65.79804680496429 9.75
92 -140.83488609023462 -47.7823959209942 29.25
93 -140.83488609023462 -47.7823959209942 48.75
94 -133.37255915911535 -65.79804680496429 29.25
95 -133.37255915911535 -65.79804680496429 48.75
96 -140.83488609023462 -47.7823959209942 68.25
97 -140.83488609023462 -47.7823959209942 87.75
98 -133.37255915911535 -65.79804680496429 68.25
99 -133.37255915911535 -65.79804680496429 87.75
100 -123.66905963205433 -82.6050009970546 -94.25
101 -123.66905963205433 -82.6050009970546 -74.75
102 -111.79821176638428 -98.07539113273369 -94.25
103 -111.79821176638428 -98.07539113273369 -74.75
104 -123.66905963205433 -82.6050009970546 -55.25
105 -123.66905963205433 -82.6050009970546 -35.75
106 -111.79821176638428 -98.07539113273369 -55.25
107 -111.79821176638428 -98.07539113273369 -35.75
108 -123.66905963205433 -82.6050009970546 -16.25
109 -123.66905963205433 -82.6050009970546 3.25
110 -111.79821176638428 -98.07539113273369 -16.25
111 -111.79821176638428 -98.07539113273369 3.25
112 -123.66905963205433 -82.6050009970546 22.75
113 -123.66905963205433 -82.6050009970546 42.25
114 -111.79821176638428 -98.07539113273369 22.75
115 -111.79821176638428 -98.07539113273369 42.25
116 -123.66905963205433 -82.6050009970546 61.75
117 -123.66905963205433 -82.6050009970546 81.25
118 -111.79821176638428 -98.07539113273369 61.75
119 -111.79821176638428 -98.07539113273369 81.25
120 123.66905963205433 -82.6050009970546 -61.75
121 123.66905963205433 -82.6050009970546 -81.25
122 111.79821176638428 -98.07539113273369 -61.75
123 111.79821176638428 -98.07539113273369 -81.25
124 123.66905963205433 -82.6050009970546 -22.75
125 123.66905963205433 -82.6050009970546 -42.25
126 111.79821176638428 -98.07539113273369 -22.75
127 111.79821176638428 -98.07539113273369 -42.25
128 123.66905963205433 -82.6050009970546 16.25
129 123.66905963205433 -82.6050009970546 -3.25
130 111.79821176638428 -98.07539113273369 16.25
131 111.79821176638428 -98.07539113273369 -3.25
132 123.66905963205433 -82.6050009970546 55.25
133 123.66905963205433 -82.6050009970546 35.75
134 111.79821176638428 -98.07539113273369 55.25
135 111.79821176638428 -98.07539113273369 35.75
136 123.66905963205433 -82.6050009970546 94.25
137 123.66905963205433 -82.6050009970546 74.75
138 111.79821176638428 -98.07539113273369 94.25
139 111.79821176638428 -98.07539113273369 74.75
140 140.8348860902346 -47.782395920994276 -68.25
141 140.8348860902346 -47.782395920994276 -87.75
142 133.37255915911533 -65.79804680496437 -68.25
143 133.37255915911533 -65.79804680496437 -87.75
144 140.8348860902346 -47.782395920994276 -29.25
145 140.8348860902346 -47.782395920994276 -48.75
146 133.37255915911533 -65.79804680496437 -29.25
147 133.37255915911533 -65.79804680496437 -48.75
148 140.8348860902346 -47.782395920994276 9.75
149 140.8348860902346 -47.782395920994276 -9.75
150 133.37255915911533 -65.79804680496437 9.75
151 133.37255915911533 -65.79804680496437 -9.75
152 140.8348860902346 -47.782395920994276 48.75
153 140.8348860902346 -47.782395920994276 29.25
154 133.37255915911533 -65.79804680496437 48.75
155 133.37255915911533 -65.79804680496437 29.25
156 140.8348860902346 -47.782395920994276 87.75
157 140.8348860902346 -47.782395920994276 68.25
158 133.37255915911533 -65.79804680496437 87.75
159 133.37255915911533 -65.79804680496437 68.25
160 148.40304780201896 -9.703499527061005 -74.75
161 148.40304780201896 -9.703499527061005 -94.25
162 145.85778705372795 -29.036674323850306 -74.75
163 145.85778705372795 -29.036674323850306 -94.25
164 148.40304780201896 -9.703499527061005 -35.75
165 148.40304780201896 -9.703499527061005 -55.25
166 145.85778705372795 -29.036674323850306 -35.75
167 145.85778705372795 -29.036674323850306 -55.25
168 148.40304780201896 -9.703499527061005 3.25
169 148.40304780201896 -9.703499527061005 -16.25
170 145.85778705372795 -29.036674323850306 3.25
171 145.85778705372795 -29.036674323850306 -16.25
172 148.40304780201896 -9.703499527061005 42.25
173 148.40304780201896 -9.703499527061005 22.75
174 145.85778705372795 -29.036674323850306 42.25
175 145.85778705372795 -29.036674323850306 22.75
176 148.40304780201896 -9.703499527061005 81.25
177 148.40304780201896 -9.703499527061005 61.75
178 145.85778705372795 -29.036674323850306 81.25
179 145.85778705372795 -29.036674323850306 61.75
180 145.85778705372795 29.036674323850306 -61.75
181 145.85778705372795 29.036674323850306 -81.25
182 148.40304780201896 9.703499527061005 -61.75
183 148.40304780201896 9.703499527061005 -81.25
184 145.85778705372795 29.036674323850306 -22.75
185 145.85778705372795 29.036674323850306 -42.25
186 148.40304780201896 9.703499527061005 -22.75
187 148.40304780201896 9.703499527061005 -42.25
188 145.85778705372795 29.036674323850306 16.25
189 145.85778705372795 29.036674323850306 -3.25
190 148.40304780201896 9.703499527061005 16.25
191 148.40304780201896 9.703499527061005 -3.25
192 145.85778705372795 29.036674323850306 55.25
193 145.85778705372795 29.036674323850306 35.75
194 148.40304780201896 9.703499527061005 55.25
195 148.40304780201896 9.703499527061005 35.75
196 145.85778705372795 29.036674323850306 94.25
197 145.85778705372795 29.036674323850306 74.75
198 148.40304780201896 9.703499527061005 94.25
199 148.40304780201896 9.703499527061005 74.75
200 133.37255915911533 65.79804680496437 -68.25
201 133.37255915911533 65.79804680496437 -87.75
202 140.8348860902346 47.782395920994276 -68.25
203 140.8348860902346 47.782395920994276 -87.75
204 133.37255915911533 65.79804680496437 -29.25
205 133.37255915911533 65.79804680496437 -48.75
206 140.8348860902346 47.782395920994276 -29.25
207 140.8348860902346 47.782395920994276 -48.75
208 133.37255915911533 65.79804680496437 9.75
209 133.37255915911533 65.79804680496437 -9.75
210 140.8348860902346 47.782395920994276 9.75
211 140.8348860902346 47.782395920994276 -9.75
212 133.37255915911533 65.79804680496437 48.75
213 133.37255915911533 65.79804680496437 29.25
214 140.8348860902346 47.782395920994276 48.75
215 140.8348860902346 47.782395920994276 29.25
216 133.37255915911533 65.79804680496437 87.75
217 133.37255915911533 65.79804680496437 68.25
218 140.8348860902346 47.782395920994276 87.75
219 140.8348860902346 47.782395920994276 68.25
220 111.79821176638428 98.07539113273369 -74.75
221 111.79821176638428 98.07539113273369 -94.25
222 123.66905963205433 82.6050009970546 -74.75
223 123.66905963205433 82.6050009970546 -94.25
224 111.79821176638428 98.07539113273369 -35.75
225 111.79821176638428 98.07539113273369 -55.25
226 123.66905963205433 82.6050009970546 -35.75
227 123.66905963205433 82.6050009970546 -55.25
228 111.79821176638428 98.07539113273369 3.25
229 111.79821176638428 98.07539113273369 -16.25
230 123.66905963205433 82.6050009970546 3.25
231 123.66905963205433 82.6050009970546 -16.25
232 111.79821176638428 98.07539113273369 42.25
233 111.79821176638428 98.07539113273369 22.75
234 123.66905963205433 82.6050009970546 42.25
235 123.66905963205433 82.6050009970546 22.75
236 111.79821176638428 98.07539113273369 81.25
237 111.79821176638428 98.07539113273369 61.75
238 123.66905963205433 82.6050009970546 81.25
239 123.66905963205433 82.6050009970546 61.75
